city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Khai Bang Rachan,14.7998,100.3102,Thailand,TH,Sing Buri,minor,,
Khuan Khanun,7.7347,100.0093,Thailand,TH,Phatthalung,minor,,
Mae Lan,6.6611,101.2396,Thailand,TH,Pattani,minor,,
Non Sung,15.1801,102.2569,Thailand,TH,Nakhon Ratchasima,minor,,
Mai Kaen,6.6098,101.6669,Thailand,TH,Pattani,minor,,
Sam Chuk,14.7576,100.0899,Thailand,TH,Suphan Buri,minor,,
Sapphaya,15.1462,100.2421,Thailand,TH,Chai Nat,minor,,
Phanom Sarakham,13.7479,101.3553,Thailand,TH,Chachoengsao,minor,,
Na Yong,7.5617,99.6948,Thailand,TH,Trang,minor,,
Sam Ko,14.6074,100.2186,Thailand,TH,Ang Thong,minor,,
Nong Ruea,16.4933,102.4334,Thailand,TH,Khon Kaen,minor,,
Mae Chan,20.1468,99.8526,Thailand,TH,Chiang Rai,minor,,
Uthumphon Phisai,15.1116,104.1401,Thailand,TH,Sisaket,minor,,
La-ngu,6.8849,99.7884,Thailand,TH,Satun,minor,,
Bang Krathum,16.5783,100.3003,Thailand,TH,Phitsanulok,minor,,
Bang Pla Ma,14.3960,100.1587,Thailand,TH,Suphan Buri,minor,,
Bang Kaeo,7.4295,100.1780,Thailand,TH,Phatthalung,minor,,
Na Mom,6.9586,100.5568,Thailand,TH,Songkhla,minor,,
Ban Lat,13.0515,99.9170,Thailand,TH,Phetchaburi,minor,,
In Buri,15.0079,100.3269,Thailand,TH,Sing Buri,minor,,
Chiang Khwan,16.1633,103.7536,Thailand,TH,Roi Et,minor,,
Sankhaburi,15.0473,100.1618,Thailand,TH,Chai Nat,minor,,
Huai Rat,14.9604,103.1891,Thailand,TH,Buriram,minor,,
Phang Khon,17.3905,103.7169,Thailand,TH,Sakon Nakhon,minor,,
Kamalasai,16.3384,103.5756,Thailand,TH,Kalasin,minor,,
Kapho,6.5597,101.5343,Thailand,TH,Pattani,minor,,
Na Tan,15.8975,105.2932,Thailand,TH,Ubon Ratchathani,minor,,
Si Somdet,15.9980,103.4879,Thailand,TH,Roi Et,minor,,
Manorom,15.3100,100.0828,Thailand,TH,Chai Nat,minor,,
Phayu,14.9085,104.3910,Thailand,TH,Sisaket,minor,,
Chuen Chom,16.5549,103.1766,Thailand,TH,Maha Sarakham,minor,,
Sanom,15.2036,103.7605,Thailand,TH,Surin,minor,,
Thawat Buri,16.0385,103.7465,Thailand,TH,Roi Et,minor,,
Si Maha Phot,13.9660,101.5130,Thailand,TH,Prachin Buri,minor,,
Raman,6.4786,101.4241,Thailand,TH,Yala,minor,,
Nong Don,14.6849,100.7094,Thailand,TH,Sara Buri,minor,,
Doembang Nangbuat,14.8333,100.1000,Thailand,TH,Suphan Buri,minor,,
Chonnabot,16.0886,102.6218,Thailand,TH,Khon Kaen,minor,,
Chiang Yuen,16.4104,103.0977,Thailand,TH,Maha Sarakham,minor,,
Waeng,5.9280,101.8838,Thailand,TH,Narathiwat,minor,,
Hua Sai,8.0441,100.3059,Thailand,TH,Nakhon Si Thammarat,minor,,
Khlong Khuean,13.7913,101.1635,Thailand,TH,Chachoengsao,minor,,
Doi Lo,18.4610,98.7777,Thailand,TH,Chiang Mai,minor,,
Kumphawapi,17.1088,103.0149,Thailand,TH,Udon Thani,minor,,
Si Rattana,14.7933,104.4692,Thailand,TH,Sisaket,minor,,
Pak Phayun,7.3422,100.3175,Thailand,TH,Phatthalung,minor,,
Si Nakhon,17.3491,99.9856,Thailand,TH,Sukhothai,minor,,
Non Daeng,15.4106,102.5403,Thailand,TH,Nakhon Ratchasima,minor,,
Phra Yuen,16.3293,102.6518,Thailand,TH,Khon Kaen,minor,,
Yang Talat,16.3998,103.3678,Thailand,TH,Kalasin,minor,,
Waeng Noi,15.8035,102.4161,Thailand,TH,Khon Kaen,minor,,
Kantharawichai,16.3272,103.2986,Thailand,TH,Maha Sarakham,minor,,
Nong Song Hong,15.7336,102.7957,Thailand,TH,Khon Kaen,minor,,
Nam Phong,16.7023,102.8557,Thailand,TH,Khon Kaen,minor,,
Pueai Noi,15.8698,102.9077,Thailand,TH,Khon Kaen,minor,,
Khwao Sinarin,15.0024,103.5915,Thailand,TH,Surin,minor,,
Mae Lao,19.7900,99.6997,Thailand,TH,Chiang Rai,minor,,
Ban Mai Chaiyaphot,15.5736,102.8333,Thailand,TH,Buriram,minor,,
Huai Thalaeng,14.9970,102.6475,Thailand,TH,Nakhon Ratchasima,minor,,
Ban Dan,15.1084,103.1755,Thailand,TH,Buriram,minor,,
Renu Nakhon,17.0516,104.6771,Thailand,TH,Nakhon Phanom,minor,,
Ban Fang,16.4533,102.6389,Thailand,TH,Khon Kaen,minor,,
Don Mot Daeng,15.3790,105.0279,Thailand,TH,Ubon Ratchathani,minor,,
Si Chomphu,16.7988,102.1847,Thailand,TH,Khon Kaen,minor,,
Si Khoraphum,14.9442,103.7970,Thailand,TH,Surin,minor,,
Wapi Pathum,15.8452,103.3768,Thailand,TH,Maha Sarakham,minor,,
Chian Yai,8.1694,100.1447,Thailand,TH,Nakhon Si Thammarat,minor,,
Yan Ta Khao,7.3862,99.6669,Thailand,TH,Trang,minor,,
Khong Chai,16.2602,103.4583,Thailand,TH,Kalasin,minor,,
Khao Chaison,7.4612,100.1337,Thailand,TH,Phatthalung,minor,,
Ban Haet,16.1965,102.7596,Thailand,TH,Khon Kaen,minor,,
Samrong Thap,15.0226,103.9363,Thailand,TH,Surin,minor,,
Khun Tan,19.8335,100.2586,Thailand,TH,Chiang Rai,minor,,
Nong Muang Khai,18.2646,100.1897,Thailand,TH,Phrae,minor,,
Non Thai,15.1958,102.0714,Thailand,TH,Nakhon Ratchasima,minor,,
Kong Krailat,16.9520,99.9777,Thailand,TH,Sukhothai,minor,,
Thung Sai,16.3149,99.8327,Thailand,TH,Kamphaeng Phet,minor,,
Pho Si Suwan,15.2293,104.0767,Thailand,TH,Sisaket,minor,,
Nong Na Kham,16.8043,102.3365,Thailand,TH,Khon Kaen,minor,,
Rong Kham,16.2694,103.7469,Thailand,TH,Kalasin,minor,,
Phimai,15.2232,102.4947,Thailand,TH,Nakhon Ratchasima,minor,,
Fang,19.9169,99.2145,Thailand,TH,Chiang Mai,minor,,
Su-ngai Padi,6.0857,101.8796,Thailand,TH,Narathiwat,minor,,
Thung Khao Luang,15.9940,103.8626,Thailand,TH,Roi Et,minor,,
Chawang,8.4261,99.5047,Thailand,TH,Nakhon Si Thammarat,minor,,
Don Chedi,14.6350,100.0210,Thailand,TH,Suphan Buri,minor,,
Na Klang,17.3072,102.1889,Thailand,TH,Nong Bua Lamphu,minor,,
Sida,15.5499,102.5667,Thailand,TH,Nakhon Ratchasima,minor,,
Phra Thong Kham,15.2669,102.0202,Thailand,TH,Nakhon Ratchasima,minor,,
Phanom Phrai,15.6778,104.1102,Thailand,TH,Roi Et,minor,,
Non Narai,15.2376,103.9133,Thailand,TH,Surin,minor,,
Bueng Bun,15.3303,104.0449,Thailand,TH,Sisaket,minor,,
Khao Wong,16.7001,104.0902,Thailand,TH,Kalasin,minor,,
Bua Lai,15.6655,102.4988,Thailand,TH,Nakhon Ratchasima,minor,,
At Samat,15.8431,103.8784,Thailand,TH,Roi Et,minor,,
Prathai,15.5332,102.7228,Thailand,TH,Nakhon Ratchasima,minor,,
Kae Dam,16.0240,103.3844,Thailand,TH,Maha Sarakham,minor,,
Thung Yang Daeng,6.6182,101.4265,Thailand,TH,Pattani,minor,,
Khao Chakan,13.6535,102.0883,Thailand,TH,Sa Kaeo,minor,,
Non Sila,15.9744,102.6698,Thailand,TH,Khon Kaen,minor,,
Samrong,15.0078,104.7842,Thailand,TH,Ubon Ratchathani,minor,,
Chom Phra,15.1181,103.6074,Thailand,TH,Surin,minor,,
Chaturaphak Phiman,15.8457,103.5572,Thailand,TH,Roi Et,minor,,
Chok Chai,14.7284,102.1652,Thailand,TH,Nakhon Ratchasima,minor,,
Khlong Khlung,16.2163,99.7191,Thailand,TH,Kamphaeng Phet,minor,,
Kabin Buri,13.9511,101.7177,Thailand,TH,Prachin Buri,minor,,
Nong Han,17.3608,103.1053,Thailand,TH,Udon Thani,minor,,
Plaeng Yao,13.5847,101.2840,Thailand,TH,Chachoengsao,minor,,
Satuek,15.2970,103.2919,Thailand,TH,Buriram,minor,,
Laem Ngop,12.1717,102.3949,Thailand,TH,Trat,minor,,
Khu Khan,14.7136,104.1984,Thailand,TH,Sisaket,minor,,
Yang Si Surat,15.6836,103.1031,Thailand,TH,Maha Sarakham,minor,,
Don Phut,14.5917,100.6283,Thailand,TH,Sara Buri,minor,,
Selaphum,16.0299,103.9383,Thailand,TH,Roi Et,minor,,
Khao Yoi,13.2402,99.8243,Thailand,TH,Phetchaburi,minor,,
Borabue,16.0418,103.1151,Thailand,TH,Maha Sarakham,minor,,
Kosum Phisai,16.2486,103.0674,Thailand,TH,Maha Sarakham,minor,,
Chum Phuang,15.3486,102.7416,Thailand,TH,Nakhon Ratchasima,minor,,
Nong Hi,15.6112,103.9948,Thailand,TH,Roi Et,minor,,
Lam Plai Mat,15.0252,102.8389,Thailand,TH,Buriram,minor,,
Wiang Chai,19.8836,99.9331,Thailand,TH,Chiang Rai,minor,,
Kham Sakae Saeng,15.3322,102.1728,Thailand,TH,Nakhon Ratchasima,minor,,
Huai Thap Than,15.0533,104.0275,Thailand,TH,Sisaket,minor,,
Khemarat,16.0425,105.2184,Thailand,TH,Ubon Ratchathani,minor,,
Prang Ku,14.8567,104.0398,Thailand,TH,Sisaket,minor,,
Pluak Daeng,12.9712,101.2146,Thailand,TH,Rayong,minor,,
Rueso,6.3936,101.5185,Thailand,TH,Narathiwat,minor,,
Sawang Daen Din,17.4753,103.4575,Thailand,TH,Sakon Nakhon,minor,,
Phrom Phiram,17.0335,100.2019,Thailand,TH,Phitsanulok,minor,,
Phu Khiao,16.3765,102.1285,Thailand,TH,Chaiyaphum,minor,,
Kham Thale So,14.9608,101.9479,Thailand,TH,Nakhon Ratchasima,minor,,
Chang Klang,8.3709,99.5625,Thailand,TH,Nakhon Si Thammarat,minor,,
Si Samrong,17.1640,99.8622,Thailand,TH,Sukhothai,minor,,
Waeng Yai,15.9555,102.5469,Thailand,TH,Khon Kaen,minor,,
Rattaphum,7.1348,100.2565,Thailand,TH,Songkhla,minor,,
Khueang Nai,15.3899,104.5508,Thailand,TH,Ubon Ratchathani,minor,,
Fao Rai,18.0179,103.3039,Thailand,TH,Nong Khai,minor,,
Rattanaburi,15.3179,103.8486,Thailand,TH,Surin,minor,,
Na Dun,15.7167,103.2278,Thailand,TH,Maha Sarakham,minor,,
Phan,19.5540,99.7405,Thailand,TH,Chiang Rai,minor,,
Kaeng Khro,16.1086,102.2581,Thailand,TH,Chaiyaphum,minor,,
Krong Pi Nang,6.4112,101.2739,Thailand,TH,Yala,minor,,
Krasang,14.9237,103.3037,Thailand,TH,Buriram,minor,,
Thepha,6.8294,100.9643,Thailand,TH,Songkhla,minor,,
Khu Mueang,15.2716,103.0017,Thailand,TH,Buriram,minor,,
Phlapphla Chai,14.7301,103.1673,Thailand,TH,Buriram,minor,,
Ban Sang,13.9950,101.2209,Thailand,TH,Prachin Buri,minor,,
Kho Wang,15.3700,104.3523,Thailand,TH,Yasothon,minor,,
Na Pho,15.6411,102.9546,Thailand,TH,Buriram,minor,,
Huai Mek,16.5897,103.2355,Thailand,TH,Kalasin,minor,,
Phanom Thuan,14.1303,99.6986,Thailand,TH,Kanchanaburi,minor,,
Tron,17.4818,100.1128,Thailand,TH,Uttaradit,minor,,
Thap Khlo,16.1600,100.5966,Thailand,TH,Phichit,minor,,
Sam Sung,16.5432,103.0799,Thailand,TH,Khon Kaen,minor,,
Khong,15.4439,102.3286,Thailand,TH,Nakhon Ratchasima,minor,,
Kao Liao,15.8505,100.0791,Thailand,TH,Nakhon Sawan,minor,,
Ban Na Doem,8.8836,99.3101,Thailand,TH,Surat Thani,minor,,
Rattanawapi,18.2136,103.1797,Thailand,TH,Nong Khai,minor,,
Mueang Chan,15.1595,104.0361,Thailand,TH,Sisaket,minor,,
Khok Si Suphan,17.0451,104.2756,Thailand,TH,Sakon Nakhon,minor,,
Huai Yot,7.7894,99.6347,Thailand,TH,Trang,minor,,
Prakhon Chai,14.6107,103.0792,Thailand,TH,Buriram,minor,,
Mueang Suang,15.8219,103.7288,Thailand,TH,Roi Et,minor,,
Phrai Bueng,14.7483,104.3626,Thailand,TH,Sisaket,minor,,
Khok Samrong,15.0665,100.7223,Thailand,TH,Lop Buri,minor,,
Na Mon,16.5765,103.7871,Thailand,TH,Kalasin,minor,,
Na Bon,8.2617,99.5947,Thailand,TH,Nakhon Si Thammarat,minor,,
Trakan Phut Phon,15.6118,105.0215,Thailand,TH,Ubon Ratchathani,minor,,
Bang Rakam,16.7585,100.1174,Thailand,TH,Phitsanulok,minor,,
Nong Ki,14.6868,102.5380,Thailand,TH,Buriram,minor,,
Nong Chang,15.3915,99.8415,Thailand,TH,Uthai Thani,minor,,
Maha Chana Chai,15.5294,104.2385,Thailand,TH,Yasothon,minor,,
Phunphin,9.1107,99.2321,Thailand,TH,Surat Thani,minor,,
Kut Khaopun,15.7927,104.9981,Thailand,TH,Ubon Ratchathani,minor,,
Khuan Don,6.7876,100.0778,Thailand,TH,Satun,minor,,
Prasat,14.6404,103.4045,Thailand,TH,Surin,minor,,
Na Khu,16.7638,104.0263,Thailand,TH,Kalasin,minor,,
Kaeng Sanam Nang,15.7495,102.2548,Thailand,TH,Nakhon Ratchasima,minor,,
Nikhom Kham Soi,16.3717,104.5515,Thailand,TH,Mukdahan,minor,,
Si Bun Rueang,16.9671,102.2761,Thailand,TH,Nong Bua Lamphu,minor,,
Pho Chai,16.3283,103.7703,Thailand,TH,Roi Et,minor,,
Ban Thaen,16.4051,102.3424,Thailand,TH,Chaiyaphum,minor,,
Pho Thale,16.0927,100.2609,Thailand,TH,Phichit,minor,,
Ko Kha,18.1923,99.3943,Thailand,TH,Lampang,minor,,
Waeng,16.3001,103.9779,Thailand,TH,Roi Et,minor,,
Kham Khuean Kaeo,15.6523,104.3086,Thailand,TH,Yasothon,minor,,
Nong Yasai,14.7799,99.9107,Thailand,TH,Suphan Buri,minor,,
Muang Sam Sip,15.5131,104.7256,Thailand,TH,Ubon Ratchathani,minor,,
Sa Khrai,17.6754,102.7507,Thailand,TH,Nong Khai,minor,,
Wang Muang,14.8423,101.1255,Thailand,TH,Sara Buri,minor,,
Phayakkhaphum Phisai,15.5163,103.1937,Thailand,TH,Maha Sarakham,minor,,
Sai Mun,15.9449,104.2081,Thailand,TH,Yasothon,minor,,
Ratsada,7.9747,99.6335,Thailand,TH,Trang,minor,,
Tha Yang,12.9723,99.8827,Thailand,TH,Phetchaburi,minor,,
Phrom Khiri,8.5233,99.8227,Thailand,TH,Nakhon Si Thammarat,minor,,
Yang Chum Noi,15.2645,104.3977,Thailand,TH,Sisaket,minor,,
Lam Thamen Chai,15.3535,102.9180,Thailand,TH,Nakhon Ratchasima,minor,,
Sak Lek,16.5053,100.4710,Thailand,TH,Phichit,minor,,
Sam Ngam,16.5065,100.2050,Thailand,TH,Phichit,minor,,
Banphot Phisai,15.9356,99.9813,Thailand,TH,Nakhon Sawan,minor,,
Tha Phae,6.7901,99.9701,Thailand,TH,Satun,minor,,
Nuea Khlong,8.0714,98.9993,Thailand,TH,Krabi,minor,,
Chiang Saen,20.2751,100.0869,Thailand,TH,Chiang Rai,minor,,
Mae Fa Luang,20.2663,99.7985,Thailand,TH,Chiang Rai,minor,,
Pathum Rat,15.6345,103.3432,Thailand,TH,Roi Et,minor,,
Khuean Ubonrat,16.7527,102.6324,Thailand,TH,Khon Kaen,minor,,
Kong Ra,7.4027,99.9497,Thailand,TH,Phatthalung,minor,,
Suwannakhuha,17.5629,102.2799,Thailand,TH,Nong Bua Lamphu,minor,,
Mae Ai,20.0288,99.2983,Thailand,TH,Chiang Mai,minor,,
Sawang Wirawong,15.2416,105.0922,Thailand,TH,Ubon Ratchathani,minor,,
Lat Yao,15.7510,99.7892,Thailand,TH,Nakhon Sawan,minor,,
Lap Lae,17.6521,100.0389,Thailand,TH,Uttaradit,minor,,
Khanu Woralaksaburi,16.0617,99.8606,Thailand,TH,Kamphaeng Phet,minor,,
Sai Ngam,16.4686,99.8884,Thailand,TH,Kamphaeng Phet,minor,,
Na Wang,17.3244,102.0783,Thailand,TH,Nong Bua Lamphu,minor,,
Wang Chan,12.9365,101.5230,Thailand,TH,Rayong,minor,,
Non Sang,16.8687,102.5664,Thailand,TH,Nong Bua Lamphu,minor,,
Sahatsakhan,16.7124,103.5202,Thailand,TH,Kalasin,minor,,
Kut Chap,17.4257,102.5669,Thailand,TH,Udon Thani,minor,,
Ku Kaeo,17.1721,103.1530,Thailand,TH,Udon Thani,minor,,
Sichon,8.9641,99.8960,Thailand,TH,Nakhon Si Thammarat,minor,,
Nong Hong,14.8478,102.6840,Thailand,TH,Buriram,minor,,
Chakkarat,15.0135,102.4129,Thailand,TH,Nakhon Ratchasima,minor,,
Mueang Yang,15.4206,102.8928,Thailand,TH,Nakhon Ratchasima,minor,,
Mancha Khiri,16.1305,102.5371,Thailand,TH,Khon Kaen,minor,,
Na Chueak,15.7934,103.0318,Thailand,TH,Maha Sarakham,minor,,
Si Narong,14.7674,103.8739,Thailand,TH,Surin,minor,,
Thung Fon,17.4717,103.2603,Thailand,TH,Udon Thani,minor,,
Lao Suea Kok,15.4183,104.9236,Thailand,TH,Ubon Ratchathani,minor,,
Chaloem Phra Kiat,14.5584,102.9248,Thailand,TH,Buriram,minor,,
Chamni,14.7863,102.8228,Thailand,TH,Buriram,minor,,
Khao Suan Kwang,16.8589,102.8612,Thailand,TH,Khon Kaen,minor,,
Thung Si Udom,14.7330,104.9090,Thailand,TH,Ubon Ratchathani,minor,,
Lan Krabue,16.6000,99.8489,Thailand,TH,Kamphaeng Phet,minor,,
Rasi Salai,15.3447,104.1548,Thailand,TH,Sisaket,minor,,
Khok Pho Chai,16.0837,102.3990,Thailand,TH,Khon Kaen,minor,,
Ko Yao,8.1101,98.5923,Thailand,TH,Phangnga,minor,,
Phutthaisong,15.5478,103.0247,Thailand,TH,Buriram,minor,,
Wang Sai Phun,16.3885,100.5380,Thailand,TH,Phichit,minor,,
Suwannaphum,15.6035,103.8021,Thailand,TH,Roi Et,minor,,
Kosamphi Nakhon,16.6313,99.3498,Thailand,TH,Kamphaeng Phet,minor,,
Doi Saket,18.8705,99.1367,Thailand,TH,Chiang Mai,minor,,
Bueng Sam Phan,15.7840,101.0072,Thailand,TH,Phetchabun,minor,,
Phon Phisai,18.0211,103.0766,Thailand,TH,Nong Khai,minor,,
Sila Lat,15.4716,104.0715,Thailand,TH,Sisaket,minor,,
Wang Hin,14.9478,104.2310,Thailand,TH,Sisaket,minor,,
Kanchanadit,9.1661,99.4701,Thailand,TH,Surat Thani,minor,,
Chai Prakan,19.7314,99.1400,Thailand,TH,Chiang Mai,minor,,
Lan Saka,8.3710,99.8056,Thailand,TH,Nakhon Si Thammarat,minor,,
Krok Phra,15.5559,100.0715,Thailand,TH,Nakhon Sawan,minor,,
Cha-uat,7.9677,99.9998,Thailand,TH,Nakhon Si Thammarat,minor,,
So Phisai,18.0772,103.4432,Thailand,TH,Bueng Kan,minor,,
Ongkharak,14.1212,101.0036,Thailand,TH,Nakhon Nayok,minor,,
Tan Sum,15.3157,105.1546,Thailand,TH,Ubon Ratchathani,minor,,
Tha Tum,15.3195,103.6754,Thailand,TH,Surin,minor,,
Hat Samran,7.2403,99.5762,Thailand,TH,Trang,minor,,
Phichai,17.2876,100.0867,Thailand,TH,Uttaradit,minor,,
Pa Daet,19.5049,99.9924,Thailand,TH,Chiang Rai,minor,,
Warichaphum,17.2941,103.6382,Thailand,TH,Sakon Nakhon,minor,,
Ban Kruat,14.4231,103.0997,Thailand,TH,Buriram,minor,,
Sung Noen,14.8992,101.8208,Thailand,TH,Nakhon Ratchasima,minor,,
Na Kae,16.9464,104.5008,Thailand,TH,Nakhon Phanom,minor,,
Lamduan,14.7220,103.6693,Thailand,TH,Surin,minor,,
Pho Tak,17.8749,102.4041,Thailand,TH,Nong Khai,minor,,
Somdet,16.7046,103.7493,Thailand,TH,Kalasin,minor,,
Pho Prathap Chang,16.3122,100.2735,Thailand,TH,Phichit,minor,,
Thap Sakae,11.4996,99.6217,Thailand,TH,Prachuap Khiri Khan,minor,,
Nong Bun Nak,14.7395,102.3656,Thailand,TH,Nakhon Ratchasima,minor,,
Nam Kliang,14.9273,104.5130,Thailand,TH,Sisaket,minor,,
Takua Thung,8.3922,98.4523,Thailand,TH,Phangnga,minor,,
Thung Yai,8.3012,99.3661,Thailand,TH,Nakhon Si Thammarat,minor,,
Pakham,14.4382,102.7256,Thailand,TH,Buriram,minor,,
Thung Saliam,17.3211,99.5609,Thailand,TH,Sukhothai,minor,,
Kut Chum,16.0329,104.3394,Thailand,TH,Yasothon,minor,,
Pa Phayom,7.8403,99.9177,Thailand,TH,Phatthalung,minor,,
Moeiwadi,16.3894,104.1572,Thailand,TH,Roi Et,minor,,
Lue Amnat,15.6948,104.6485,Thailand,TH,Amnat Charoen,minor,,
Pran Buri,12.3849,99.9016,Thailand,TH,Prachuap Khiri Khan,minor,,
Ratchasan,13.7821,101.2813,Thailand,TH,Chachoengsao,minor,,
Khon Sawan,15.9319,102.2810,Thailand,TH,Chaiyaphum,minor,,
Erawan,17.3018,101.9538,Thailand,TH,Loei,minor,,
Thoeng,19.6851,100.1946,Thailand,TH,Chiang Rai,minor,,
Na Yia,15.0637,105.0599,Thailand,TH,Ubon Ratchathani,minor,,
Mae Chai,19.3460,99.8140,Thailand,TH,Phayao,minor,,
Don Tan,16.3170,104.9200,Thailand,TH,Mukdahan,minor,,
Kanthararom,15.1032,104.5734,Thailand,TH,Sisaket,minor,,
Thap Than,15.4606,99.8917,Thailand,TH,Uthai Thani,minor,,
Na Wa,17.4897,104.1006,Thailand,TH,Nakhon Phanom,minor,,
Bueng Samakkhi,16.1873,99.9753,Thailand,TH,Kamphaeng Phet,minor,,
Sangkha,14.6362,103.8528,Thailand,TH,Surin,minor,,
Phon Charoen,18.0314,103.7100,Thailand,TH,Bueng Kan,minor,,
Phaya Mengrai,19.8492,100.1536,Thailand,TH,Chiang Rai,minor,,
Nong Kha Yang,15.3640,99.9294,Thailand,TH,Uthai Thani,minor,,
Tamot,7.3392,100.1117,Thailand,TH,Phatthalung,minor,,
Phibun Rak,17.5531,103.0579,Thailand,TH,Udon Thani,minor,,
Khaen Dong,15.3248,103.1334,Thailand,TH,Buriram,minor,,
Akat Amnuai,17.5964,103.9816,Thailand,TH,Sakon Nakhon,minor,,
Wachira Barami,16.5231,100.1446,Thailand,TH,Phichit,minor,,
Thap Put,8.5162,98.6397,Thailand,TH,Phangnga,minor,,
Pha Khao,17.0651,102.0297,Thailand,TH,Loei,minor,,
Phen,17.6961,102.9069,Thailand,TH,Udon Thani,minor,,
Bamnet Narong,15.5019,101.6898,Thailand,TH,Chaiyaphum,minor,,
Siao,14.7958,104.6702,Thailand,TH,Sisaket,minor,,
Khlong Hoi Khong,6.8986,100.3889,Thailand,TH,Songkhla,minor,,
Nam Khun,14.5839,104.9248,Thailand,TH,Ubon Ratchathani,minor,,
Ban Phaeng,17.9651,104.2153,Thailand,TH,Nakhon Phanom,minor,,
Pak Khat,18.3056,103.3044,Thailand,TH,Bueng Kan,minor,,
Kaset Wisai,15.6556,103.5836,Thailand,TH,Roi Et,minor,,
Bueng Khong Long,17.9613,104.0467,Thailand,TH,Bueng Kan,minor,,
Si Wilai,18.1819,103.7479,Thailand,TH,Bueng Kan,minor,,
Tham Phannara,8.4204,99.3952,Thailand,TH,Nakhon Si Thammarat,minor,,
Chaiwan,17.2945,103.2339,Thailand,TH,Udon Thani,minor,,
Nong Kung Si,16.6559,103.2972,Thailand,TH,Kalasin,minor,,
Phatthana Nikhom,14.8565,100.9846,Thailand,TH,Lop Buri,minor,,
Kra Buri,10.4043,98.7727,Thailand,TH,Ranong,minor,,
Ban Nang Sata,6.2664,101.2646,Thailand,TH,Yala,minor,,
Pa Tio,15.8328,104.3867,Thailand,TH,Yasothon,minor,,
Wanon Niwat,17.6339,103.7524,Thailand,TH,Sakon Nakhon,minor,,
Chatturat,15.5654,101.8455,Thailand,TH,Chaiyaphum,minor,,
Kut Rang,16.0940,103.0100,Thailand,TH,Maha Sarakham,minor,,
Phu Sang,19.5990,100.3244,Thailand,TH,Phayao,minor,,
Nong Yai,13.1551,101.3723,Thailand,TH,Chon Buri,minor,,
Bang Sai,14.2124,100.4966,Thailand,TH,Phra Nakhon Si Ayutthaya,minor,,
Nong Phok,16.3101,104.2025,Thailand,TH,Roi Et,minor,,
Na Thawi,6.7419,100.6914,Thailand,TH,Songkhla,minor,,
Thai Charoen,16.0664,104.4402,Thailand,TH,Yasothon,minor,,
Phon Sai,15.4880,103.9964,Thailand,TH,Roi Et,minor,,
Phanna Nikhom,17.3525,103.8503,Thailand,TH,Sakon Nakhon,minor,,
Non Kho,14.9167,104.7252,Thailand,TH,Sisaket,minor,,
Wiang Chiang Rung,20.0133,100.0564,Thailand,TH,Chiang Rai,minor,,
Mae Tha,18.4646,99.1403,Thailand,TH,Lamphun,minor,,
Ban Khwao,15.7777,101.9072,Thailand,TH,Chaiyaphum,minor,,
Song Dao,17.3363,103.4755,Thailand,TH,Sakon Nakhon,minor,,
Bo Thong,13.2782,101.4403,Thailand,TH,Chon Buri,minor,,
Sang Khom,17.8265,103.0926,Thailand,TH,Udon Thani,minor,,
Nikhom Nam Un,17.1831,103.7184,Thailand,TH,Sakon Nakhon,minor,,
Non Sa-at,16.9791,102.8937,Thailand,TH,Udon Thani,minor,,
Tha Uthen,17.5760,104.5991,Thailand,TH,Nakhon Phanom,minor,,
Charoen Sin,17.5793,103.5403,Thailand,TH,Sakon Nakhon,minor,,
Khiri Mat,16.8333,99.8000,Thailand,TH,Sukhothai,minor,,
Ko Pha-Ngan,9.7194,99.9951,Thailand,TH,Surat Thani,minor,,
Hua Taphan,15.6971,104.4916,Thailand,TH,Amnat Charoen,minor,,
Bang Saphan,11.2145,99.5114,Thailand,TH,Prachuap Khiri Khan,minor,,
Seka,17.9285,103.9552,Thailand,TH,Bueng Kan,minor,,
Phayuha Khiri,15.4552,100.1353,Thailand,TH,Nakhon Sawan,minor,,
Dan Khun Thot,15.2085,101.7714,Thailand,TH,Nakhon Ratchasima,minor,,
Loeng Nok Tha,16.2075,104.5553,Thailand,TH,Yasothon,minor,,
Nong Sung,16.4830,104.3471,Thailand,TH,Mukdahan,minor,,
Hankha,14.9812,100.0147,Thailand,TH,Chai Nat,minor,,
Chiang Klang,19.2938,100.8617,Thailand,TH,Nan,minor,,
Pa Bon,7.2694,100.1704,Thailand,TH,Phatthalung,minor,,
Kham Muang,16.9290,103.6352,Thailand,TH,Kalasin,minor,,
Tha Luang,15.0712,101.0980,Thailand,TH,Lop Buri,minor,,
Yaha,6.4797,101.1320,Thailand,TH,Yala,minor,,
Phana,15.6823,104.8460,Thailand,TH,Amnat Charoen,minor,,
Ban Hong,18.3309,98.8192,Thailand,TH,Lamphun,minor,,
Nong Wua So,17.1626,102.5727,Thailand,TH,Udon Thani,minor,,
Tha Khantho,16.9395,103.2459,Thailand,TH,Kalasin,minor,,
Phu Kam Yao,19.2705,99.9701,Thailand,TH,Phayao,minor,,
Khao Saming,12.3535,102.4355,Thailand,TH,Trat,minor,,
Phon Na Kaeo,17.2212,104.2899,Thailand,TH,Sakon Nakhon,minor,,
Phanom Dong Rak,14.4458,103.3051,Thailand,TH,Surin,minor,,
Nong Phai,15.9902,101.0618,Thailand,TH,Phetchabun,minor,,
